x,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
-3.506666666666666821e+00,6.481821212713285072e-17,-3.496377760743486476e-17,-1.361563707262673962e-16,2.907755425097863891e-16,6.644114526749113847e-16,-1.527511511707569469e-15
-3.500000000000000000e+00,8.232452938117601426e-17,-4.440235803605479141e-17,-1.728000491626046824e-16,3.688495109766935754e-16,8.422295512314302763e-16,-1.934837790492764827e-15
-3.493333333333333179e+00,1.044564231377107343e-16,-5.633356334765851208e-17,-2.190897750963124642e-16,4.674250917439176269e-16,1.066581594995553563e-15,-2.448349949668867396e-15
-3.486666666666666359e+00,1.324084025354941384e-16,-7.140074305658770289e-17,-2.775067294283204341e-16,5.917620467454561235e-16,1.349362805180273835e-15,-3.095081384893991631e-15
-3.479999999999999982e+00,1.676761372776138496e-16,-9.040935591271302050e-17,-3.511550343065734925e-16,7.484370404262342969e-16,1.705435187846077853e-15,-3.908778751098076840e-15
-3.473333333333333162e+00,2.121304980497427354e-16,-1.143668002877555849e-16,-4.439142211022729059e-16,9.456650091744818651e-16,2.153348560261578819e-15,-4.931525979828546428e-15
-3.466666666666666785e+00,2.681093230125645976e-16,-1.445317741863788509e-16,-5.606280268530004056e-16,1.193696861861312991e-15,2.716232081156565127e-15,-6.215750434573798962e-15
-3.459999999999999964e+00,3.385310366567291505e-16,-1.824753816447362371e-16,-7.073379323900446716e-16,1.505311128827976528e-15,3.422895451054093391e-15,-7.826698516218239696e-15
-3.453333333333333144e+00,4.270351795779257542e-16,-2.301567027430109969e-16,-8.915717456614396460e-16,1.896421120408384568e-15,4.309187671452588495e-15,-9.845487363285733712e-15
-3.446666666666666767e+00,5.381560440155636878e-16,-2.900161543531683527e-16,-1.122699835228786930e-15,2.386823954219910910e-15,5.419671853341846355e-15,-1.237286276263611672e-14
-3.439999999999999947e+00,6.775369934413741551e-16,-3.650907111874233152e-16,-1.412374417922956753e-15,3.001123641677699949e-15,6.809687436932831580e-15,-1.553382184992917223e-14
-3.433333333333333570e+00,8.521947270131938229e-16,-4.591559595308537583e-16,-1.775070705025812653e-15,3.769867503123497434e-15,8.547886794172084100e-15,-1.948329365898201882e-14
-3.426666666666666750e+00,1.070844793761522287e-15,-5.769010526817746294e-16,-2.228752837791504279e-15,4.730943765140813672e-15,1.071935209520852567e-14,-2.441311230015944614e-14
-3.419999999999999929e+00,1.344302141937948419e-15,-7.241439677500981387e-16,-2.795692545191398374e-15,5.931298591694095575e-15,1.342942120176189656e-14,-3.056056797465547357e-14
-3.413333333333333108e+00,1.685973495978602288e-15,-9.080960762497327939e-16,-3.503474513645281759e-15,7.429043382142206910e-15,1.680837900811745265e-14,-3.821888191264899607e-14
-3.406666666666666732e+00,2.112461994807605158e-15,-1.137686993578280465e-15,-4.386229784616016749e-15,9.296038375690887320e-15,2.101720404418831822e-14,-4.775002474442128488e-14
-3.399999999999999911e+00,2.644308929729299584e-15,-1.423963034067333119e-15,-5.486147347603389983e-15,1.162105696104553820e-14,2.625460042981567339e-14,-5.960038625900502198e-14
-3.393333333333333535e+00,3.306902742157897899e-15,-1.780575451357493406e-15,-6.855324779289323358e-15,1.451365723125221468e-14,3.276559378950782821e-14,-7.431991093076318286e-14
-3.386666666666666714e+00,4.131591865072513878e-15,-2.224378086959056400e-15,-8.558031659298157991e-15,1.810891399684336788e-14,4.085202812572274890e-14,-9.258544151335533001e-14
-3.379999999999999893e+00,5.157045737027776059e-15,-2.776158200533868777e-15,-1.067347500394583112e-14,2.257319656787389590e-14,5.088537083643016953e-14,-1.152291665825924243e-13
-3.373333333333333073e+00,6.430917645502410928e-15,-3.461529253677940317e-15,-1.329917461866930315e-14,2.811121619811563372e-14,6.332231734027375794e-14,-1.432732520982813146e-13
-3.366666666666666696e+00,8.011874278771307116e-15,-4.312020431374386726e-15,-1.655507869221442904e-14,3.497461341220355586e-14,7.872378785725114240e-14,-1.779719577043280275e-13
-3.359999999999999876e+00,9.972070352543376189e-15,-5.366404909790848219e-15,-2.058857687074915550e-14,4.347241100277384766e-14,9.777803000268486816e-14,-2.208628025199718398e-13
-3.353333333333333499e+00,1.240016286886511334e-14,-6.672317550721694889e-15,-2.558060032296526417e-14,5.398372505923085016e-14,1.213286857947598200e-13,-2.738286607725358712e-13
-3.346666666666666679e+00,1.540497898153277793e-14,-8.288223100378539483e-15,-3.175303696248121949e-14,6.697320606655553294e-14,1.504088549501202090e-13,-3.391730444347515594e-13
-3.339999999999999858e+00,1.911997470199761955e-14,-1.028580842344456911e-14,-3.937773624342640379e-14,8.300977736605772615e-14,1.862823932580850535e-13,-4.197112794317676195e-13
-3.333333333333333037e+00,2.370864951315690389e-14,-1.275288720276136041e-14,-4.878743322097991459e-14,1.027893520212225922e-13,2.304939316419592685e-13,-5.188808173631505950e-13
-3.326666666666666661e+00,2.937111522906592081e-14,-1.579692334206791496e-14,-6.038898756089424760e-14,1.271623448249010620e-13,2.849293956067483821e-13,-6.408745617847167527e-13
-3.319999999999999840e+00,3.635205716595293983e-14,-1.954930056840034220e-14,-7.467941188290496650e-14,1.571669578750931331e-13,3.518891548053716164e-13,-7.908018453986908949e-13
-3.313333333333333464e+00,4.495037307610774393e-14,-2.417049108406857796e-14,-9.226525757818720354e-14,1.940694106066156010e-13,4.341763486137090455e-13,-9.748825936888957329e-13
-3.306666666666666643e+00,5.553083175715454046e-14,-2.985630632154512693e-14,-1.138860378094926171e-13,2.394125140007688437e-13,5.352034278368523014e-13,-1.200681277008439782e-12
