x,V,psi_0,density_0,psi_1,density_1,psi_2,density_2,psi_3,density_3,psi_4,density_4,psi_5,density_5
-3.907999999999999918e+00,1.017539143156480009e+03,5.552142801806322192e-24,3.082628969164975791e-47,-3.011382820797782634e-24,9.068426493396009852e-48,-1.214142278651446562e-23,1.474141472808926832e-46,2.662375452375294821e-23,7.088243049410555856e-46,6.310790408771400096e-23,3.982607558344109607e-45,-1.511627897784177175e-22,2.285018901359410920e-44
-3.903999999999999915e+00,1.013085165793279998e+03,6.654941409721165168e-24,4.428824516682152467e-47,-3.609345203099649967e-24,1.302737279513845378e-47,-1.454782984119880587e-23,2.116393530884744727e-46,3.189305545351464529e-23,1.017166986160960318e-45,7.557346481304537960e-23,5.711348583848608078e-45,-1.809558633492949948e-22,3.274502448048872573e-44
-3.899999999999999911e+00,1.008645499999999856e+03,7.973490014095907803e-24,6.357654300488716437e-47,-4.324256254911671177e-24,1.869919215814271276e-47,-1.742396583303577558e-23,3.035945853507980779e-46,3.818939968448867237e-23,1.458430248261623550e-45,9.046370693164443537e-23,8.183682271814453273e-45,-2.165306766869068593e-22,4.688553394648978928e-44
-3.895999999999999908e+00,1.004220115809279946e+03,9.549396610651982355e-24,9.119097562753155939e-47,-5.178662703306217834e-24,2.681854739461486191e-47,-2.086020883399685286e-23,4.351483125979603378e-46,4.571009292684591024e-23,2.089412595380888534e-45,1.082434468522829725e-22,1.171664378646300765e-44,-2.589929634682145891e-22,6.707735512604793948e-44
-3.891999999999999904e+00,9.998089832844798366e+02,1.143216691644115277e-23,1.306944404053716225e-46,-6.199389510118094101e-24,3.843243029816226220e-47,-2.496405017645190873e-23,6.232038012124085668e-46,5.468974138898674990e-23,2.990967813194250582e-45,1.294651789702429923e-22,1.676123256579704934e-44,-3.096565122056926084e-22,9.588715555139425846e-44
-3.887999999999999901e+00,9.954120725196798958e+02,1.368068045144770495e-23,1.871610176146233731e-46,-7.418339197428701310e-24,5.503175644810710744e-47,-2.986328485033932771e-23,8.918157820525063659e-46,6.540719409751647010e-23,4.278101039710193353e-45,1.547853564984613855e-22,2.395850658635578098e-44,-3.700816997967754110e-22,1.369604645244706071e-43
-3.883999999999999897e+00,9.910293536396798117e+02,1.636493788587912384e-23,2.678111920086818811e-46,-8.873438015477489152e-24,7.873790221452108082e-47,-3.570978666418466697e-23,1.275188863601581073e-45,7.819375545146346785e-23,6.114263391603272814e-45,1.849836439878731275e-22,3.421894854303218742e-44,-4.421210394064828423e-22,1.954710134858687485e-43
-3.879999999999999893e+00,9.866607967999998436e+02,1.956812867968912806e-23,3.829116600248721871e-46,-1.060975548222612449e-23,1.125669113926272985e-46,-4.268397356452617051e-23,1.821921599257169011e-45,9.344289653472058685e-23,8.731574912798496796e-45,2.209856748136718439e-22,4.883466847285391904e-44,-5.279729978570668296e-22,2.787554864661783063e-43
-3.875999999999999890e+00,9.823063721868797984e+02,2.338907674278209175e-23,5.470489108797501510e-46,-1.268082853071000381e-23,1.608034122252688410e-46,-5.100008716095363018e-23,2.601008890424867239e-45,1.116217340773887876e-22,1.245941151844329698e-44,2.638899408522366373e-22,6.963790088299694824e-44,-6.302455581647024990e-22,3.972094635863373881e-43
-3.871999999999999886e+00,9.779660500172800539e+02,2.794513206310354330e-23,7.809304060242977662e-46,-1.515022702735363666e-23,2.295293789803565914e-46,-6.091243239812398066e-23,3.710324420656023784e-45,1.332845933243747677e-22,1.776478281764396761e-44,3.149995517698741192e-22,9.922471761522160281e-44,-7.520312613398593264e-22,5.655510180324198299e-43
-3.867999999999999883e+00,9.736398005388798538e+02,3.337558824470355024e-23,1.113929890679993753e-45,-1.809340391172530346e-23,3.273712651128365241e-46,-7.272274900407391452e-23,5.288598222709533716e-45,1.590890266285463534e-22,2.530931839361832960e-44,3.758597305436821762e-22,1.412705370443693750e-43,-8.969957644771426414e-22,8.046014014899334932e-43
-3.863999999999999879e+00,9.693275940300800357e+02,3.984571997159648841e-23,1.587681400054883172e-45,-2.159988081935902005e-23,4.665548514105136560e-46,-8.678891647044497340e-23,7.532316022113875224e-45,1.898147247246510772e-22,3.602962972229506334e-44,4.483020632487461037e-22,2.009747399130827428e-43,-1.069482306987399939e-21,1.143792404959091121e-42
-3.859999999999999876e+00,9.650294007999999621e+02,4.755155091913987621e-23,2.261149994815552540e-45,-2.577582897519629527e-23,6.643933593585689174e-46,-1.035352296367306694e-22,1.071954377593055256e-44,2.263858339784326112e-22,5.125054582611045769e-44,5.344966985184616935e-22,2.856867207271353378e-43,-1.274634892290326642e-21,1.624694108643972462e-42
-3.855999999999999872e+00,9.607451911884796800e+02,5.672548198487543660e-23,3.217780306416427833e-45,-3.074711560860053088e-23,9.453851182486463353e-46,-1.234645233340158555e-22,1.524348852209574591e-44,2.698972823305225858e-22,7.284454300940182093e-44,6.370138997781103413e-22,4.057867085105163722e-43,-1.518543478544994548e-21,2.305974296231532417e-42
-3.851999999999999869e+00,9.564749355660796937e+02,6.764293238592196042e-23,4.575566301766410120e-45,-3.666289840144448943e-23,1.344168119194640854e-45,-1.471724730156590272e-22,2.165973681354488536e-44,3.216458213659960020e-22,1.034560344022062105e-43,7.588965964459183246e-22,5.759240440971989839e-43,-1.808415040869466362e-21,3.270364960042913942e-42
-3.847999999999999865e+00,9.522186043340798278e+02,8.063017273025664991e-23,6.501224754511023332e-45,-4.369986484110775702e-23,1.909678187131085758e-45,-1.753644550532953571e-22,3.075269209613924842e-44,3.831666144992367392e-22,1.468166544668066980e-43,9.037458647042889551e-22,8.167565879701028836e-43,-2.152775032742404516e-21,4.634440341599061094e-42
-3.843999999999999861e+00,9.479761679244799097e+02,9.607356026720722586e-23,9.230128982416698793e-45,-5.206723016291965907e-23,2.710996456838450631e-45,-2.088754167925318663e-22,4.362893974025390171e-44,4.562763446515518240e-22,2.081881026885817098e-43,1.075821601047607750e-21,1.157392117280638073e-42,-2.561704551884429680e-21,6.562330211145406128e-42
-3.839999999999999858e+00,9.437475967999999966e+02,1.144304229182376560e-22,1.309432168924672868e-44,-6.201262724220837924e-23,3.845565937481084876e-45,-2.486932841571813128e-22,6.184834958488452521e-44,5.431239824851885099e-22,2.949836603505713681e-43,1.280161040614975371e-21,1.638812289908416597e-42,-3.047119424478876626e-21,9.284936787036479910e-42
-3.835999999999999854e+00,9.395328614540799208e+02,1.362418812673737528e-22,1.856185021127316673e-44,-7.382904481255793582e-23,5.450727857934688047e-45,-2.959865254410200735e-22,8.760802324264762377e-44,6.462505522772768818e-22,4.176397763186853514e-43,1.522718226620425485e-21,2.318670797682053596e-42,-3.623098482716223180e-21,1.312684261546059751e-41
-3.831999999999999851e+00,9.353319324108798583e+02,1.621479474808165357e-22,2.629195687224163749e-44,-8.786299730014841342e-23,7.719906294565887658e-45,-3.521365961149726114e-22,1.240001823234393364e-43,7.686594615621026232e-22,5.908373678489415235e-43,1.810528067811498945e-21,3.278011884333239958e-42,-4.306269549428123260e-21,1.854395743233189073e-41
-3.827999999999999847e+00,9.311447802252798738e+02,1.929052983247321460e-22,3.721245412175390643e-44,-1.045241410207974226e-22,1.092529605613554605e-44,-4.187761135431594873e-22,1.753734332743132156e-43,9.138992281917828473e-22,8.352117992895363936e-43,2.151899240378093774e-21,4.630670340739816742e-42,-5.116263089149195877e-21,2.617614799739047452e-41
-3.823999999999999844e+00,9.269713754828798074e+02,2.294081874508240381e-22,5.262811646947242081e-44,-1.242965882382415403e-22,1.544964184766696643e-44,-4.978337553923066888e-22,2.478384480080070567e-43,1.086160750796686829e-21,1.179745176571222361e-42,2.556640913678614605e-21,6.536412761495420772e-42,-6.076245171115829318e-21,3.692075537950843394e-41
-3.819999999999999840e+00,9.228116887999999562e+02,2.727130415386202368e-22,7.437240302524520656e-44,-1.477522135027701304e-22,2.183071659496816835e-44,-5.915870446607107936e-22,3.499752314103938225e-43,1.290391633120735525e-21,1.665110566827998969e-42,3.036329122472069268e-21,9.219294539972006387e-42,-7.213543355697341689e-21,5.203520774452526889e-41
-3.815999999999999837e+00,9.186656908236799381e+02,3.240673776003235596e-22,1.050196652247507011e-43,-1.755662967930870341e-22,3.082352456963832445e-44,-7.027243816217791543e-22,4.938215565257118942e-43,1.532430497896861349e-21,2.348343230884422307e-42,3.604619591673850404e-21,1.299328240067895532e-41,-8.560381407025103136e-21,7.328012983374107946e-41
-3.811999999999999833e+00,9.145333522316799417e+02,3.849437869500987199e-22,1.481817191114830011e-43,-2.085359064491010584e-22,4.348722427854822746e-44,-8.344179131877915800e-22,6.962532538486688650e-43,1.819164721714463089e-21,3.309360284730460249e-42,4.277614965752861017e-21,1.829798979523285093e-41,-1.015474140383629694e-20,1.031187729787871705e-40
-3.807999999999999829e+00,9.104146437324798171e+02,4.570798575466539994e-22,2.089219961748695288e-43,-2.476014930761578795e-22,6.130649937354265591e-44,-9.904090986049098957e-22,9.809101825993901788e-43,2.158715600193723621e-21,4.660053042519748667e-42,5.074295730142114361e-21,2.574847715693849133e-41,-1.204137492882702014e-20,1.449947101765839248e-40
-3.803999999999999826e+00,9.063095360652798718e+02,5.425250535730602589e-22,2.943334337544519139e-43,-2.938722451076615887e-22,8.636089644461752978e-44,-1.175109143197333826e-21,1.380881498425972012e-42,2.560655626027767534e-21,6.556957235107658609e-42,6.017025667011327162e-21,3.620459787747310908e-41,-1.427298863480278165e-20,2.037182045692093753e-40
